,WijkenEnBuurten,SoortRegio,AantalInwoners,Mannen,Vrouwen,k_0Tot15Jaar,k_15Tot25Jaar,k_25Tot45Jaar,k_45Tot65Jaar,k_65JaarOfOuder,Ongehuwd,Gehuwd,Gescheiden,Verweduwd,WestersTotaal,NietWestersTotaal,GeboorteRelatief,SterfteRelatief,HuishoudensTotaal,Eenpersoonshuishoudens,HuishoudensZonderKinderen,HuishoudensMetKinderen,GemiddeldeHuishoudensgrootte,Bevolkingsdichtheid,Woningvoorraad,GemiddeldeWoningwaarde,PercentageEengezinswoning,PercentageMeergezinswoning,PercentageBewoond,Koopwoningen,HuurwoningenTotaal,InBezitWoningcorporatie,InBezitOverigeVerhuurders,BouwjaarVoor2000,BouwjaarVanaf2000,GemiddeldElektriciteitsverbruikTotaal,Appartement,Appartement1,Tussenwoning,Tussenwoning1,Hoekwoning,Hoekwoning1,TweeOnderEenKapWoning,TweeOnderEenKapWoning1,VrijstaandeWoning,VrijstaandeWoning1,Huurwoning,Huurwoning1,GemiddeldAardgasverbruikTotaal,AantalInkomensontvangers,GemiddeldInkomenPerInkomensontvanger,GemiddeldInkomenPerInwoner,k_40PersonenMetLaagsteInkomen,k_20PersonenMetHoogsteInkomen,k_20HuishoudensMetHoogsteInkomen,HuishoudensMetEenLaagInkomen,HuishOnderOfRondSociaalMinimum,BedrijfsvestigingenTotaal,PersonenautoSTotaal,PersonenautoSJongerDan6Jaar,PersonenautoS6JaarEnOuder,PersonenautoSBrandstofBenzine,PersonenautoSOverigeBrandstof,PersonenautoSPerHuishouden,PersonenautoSNaarOppervlakte,Motorfietsen,MateVanStedelijkheid,Omgevingsadressendichtheid,attributes.TELJAAR,attributes.AANTAL,attributes.AANTAL_SUMMED,Zon_atlas
206,140703,Buurt     ,5,0,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.7,46.0,2,236.0,46.0,54.0,95.0,46.0,51.0,28.0,23.0,83.0,17.0,2700.0,2000.0,850.0,3050.0,1200.0,3100.0,1350.0,4050.0,1700.0,4400.0,2100.0,2150.0,950.0,1150.0,0.0,36.7,29.0,33.9,29.7,25.5,8.4,7.0,90.0,40,30,10,15,25,0.8,911.0,0,3,1307,2016,0.0,0.0,2.0
207,140704,Buurt     ,1735,855,880,30.0,7.0,24.0,32.0,6.0,59.0,36.0,4.0,1.0,6.0,3.0,9.0,1.0,595,13.0,31.0,56.0,2.9,875.0,564,304.0,100.0,0.0,98.0,83.0,17.0,12.0,5.0,85.0,15.0,3900.0,2000.0,850.0,3500.0,1600.0,3950.0,1750.0,4200.0,1900.0,4650.0,2100.0,3500.0,1600.0,1750.0,1100.0,42.5,26.3,23.0,42.0,49.0,18.0,7.0,160.0,705,285,420,515,190,1.2,356.0,50,5,432,2013,241.0,241.0,1.6551724137931034
208,140704,Buurt     ,1755,865,885,30.0,8.0,23.0,33.0,6.0,60.0,35.0,4.0,1.0,6.0,3.0,11.0,2.0,595,11.0,32.0,57.0,2.9,885.0,572,293.0,100.0,0.0,99.0,87.0,13.0,12.0,2.0,84.0,16.0,3750.0,2000.0,850.0,3250.0,1200.0,3850.0,1350.0,4050.0,1450.0,4500.0,1550.0,3450.0,1250.0,1350.0,1100.0,41.0,26.8,25.0,41.6,50.9,7.4,6.0,155.0,710,275,435,520,190,1.2,358.0,50,5,429,2014,277.0,518.0,1.6551724137931034
209,140704,Buurt     ,1275,645,630,320.0,160.0,150.0,510.0,130.0,660.0,545.0,45.0,20.0,80.0,45.0,1.0,1.0,420,40.0,135.0,245.0,3.0,1430.0,423,425.0,90.0,10.0,99.0,97.0,3.0,0.0,3.0,3.0,97.0,4220.0,3370.0,1040.0,3400.0,1510.0,3500.0,1710.0,4200.0,1760.0,4820.0,2090.0,4430.0,1670.0,1770.0,900.0,54.9,37.9,25.6,52.2,67.4,1.9,1.4,115.0,570,245,325,405,165,1.4,642.0,40,4,500,2015,146.0,664.0,1.6551724137931034
210,140704,Buurt     ,1250,620,630,295.0,160.0,145.0,510.0,140.0,645.0,545.0,40.0,15.0,75.0,50.0,6.0,4.0,425,45.0,135.0,240.0,2.9,1405.0,423,428.0,90.0,10.0,98.0,98.0,2.0,0.0,2.0,3.0,97.0,4120.0,3240.0,1110.0,3350.0,1590.0,3370.0,1790.0,4120.0,1840.0,4730.0,2240.0,3880.0,1570.0,1880.0,900.0,54.9,37.9,25.6,52.2,67.4,1.9,1.4,115.0,560,255,305,400,160,1.3,630.0,40,4,510,2016,245.0,909.0,1.6551724137931034
211,140705,Buurt     ,30,15,15,295.0,160.0,145.0,510.0,140.0,645.0,545.0,40.0,15.0,75.0,50.0,0.0,0.0,20,70.0,10.0,20.0,1.5,53.0,11,428.0,90.0,10.0,98.0,98.0,2.0,0.0,2.0,3.0,97.0,4120.0,3240.0,1110.0,3350.0,1590.0,3370.0,1790.0,4120.0,1840.0,4730.0,2240.0,3880.0,1570.0,1880.0,900.0,54.9,37.9,25.6,52.2,67.4,1.9,1.4,70.0,35,15,20,15,20,1.3,630.0,0,3,1056,2013,0.0,0.0,1.5
212,140705,Buurt     ,35,15,20,295.0,160.0,145.0,510.0,140.0,645.0,545.0,40.0,15.0,75.0,50.0,0.0,0.0,25,75.0,8.0,17.0,1.5,65.0,11,428.0,90.0,10.0,98.0,98.0,2.0,0.0,2.0,3.0,97.0,4120.0,3240.0,1110.0,3350.0,1590.0,3370.0,1790.0,4120.0,1840.0,4730.0,2240.0,3880.0,1570.0,1880.0,0.0,54.9,37.9,25.6,52.2,67.4,1.9,1.4,60.0,30,15,15,10,20,1.3,630.0,0,3,1133,2014,0.0,0.0,1.5
213,140705,Buurt     ,45,25,15,5.0,0.0,10.0,15.0,10.0,25.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,25,20.0,0.0,5.0,1.5,347.0,1,428.0,90.0,10.0,98.0,98.0,2.0,0.0,2.0,3.0,97.0,4120.0,3240.0,1110.0,3350.0,1590.0,3370.0,1790.0,4120.0,1840.0,4730.0,2240.0,3880.0,1570.0,1880.0,0.0,54.9,37.9,25.6,52.2,67.4,1.9,1.4,5.0,15,0,10,10,5,1.3,630.0,0,5,272,2015,0.0,0.0,1.5
214,140705,Buurt     ,40,25,15,5.0,5.0,10.0,15.0,10.0,25.0,5.0,10.0,0.0,5.0,0.0,0.0,0.0,25,20.0,0.0,5.0,1.6,339.0,1,428.0,90.0,10.0,98.0,98.0,2.0,0.0,2.0,3.0,97.0,4120.0,3240.0,1110.0,3350.0,1590.0,3370.0,1790.0,4120.0,1840.0,4730.0,2240.0,3880.0,1570.0,1880.0,0.0,54.9,37.9,25.6,52.2,67.4,1.9,1.4,5.0,15,5,10,15,0,1.3,630.0,0,5,282,2016,0.0,0.0,1.5
215,140709,Buurt     ,225,105,120,16.0,16.0,24.0,29.0,14.0,67.0,17.0,10.0,6.0,3.0,1.0,0.0,0.0,115,44.0,19.0,37.0,2.0,4842.0,30,428.0,100.0,0.0,100.0,13.0,87.0,80.0,7.0,33.0,67.0,3450.0,3240.0,1110.0,2850.0,1250.0,3700.0,1700.0,4120.0,1840.0,4730.0,2240.0,3300.0,1450.0,1500.0,100.0,15.2,10.2,86.0,5.0,5.0,86.0,1.4,15.0,65,20,45,35,30,0.6,1399.0,5,4,525,2013,0.0,0.0,
